profile,tech_stack,tobeclusteredcolumn
DS,"[Team management, Prototype, Database design, Agile, Data structures, MATLAB, Analytics, Financial services]","DS [Team management, Prototype, Database design, Agile, Data structures, MATLAB, Analytics, Financial services]"
DS,"[Computer science, Training, Web technologies, Coding, Deployment, Automotive, Computer, Data]","DS [Computer science, Training, Web technologies, Coding, Deployment, Automotive, Computer, Data]"
DS,"[deep learning, Statistical analysis, data science, Operations planning, model development, Data processing, Natural language processing, Japanese]","DS [deep learning, Statistical analysis, data science, Operations planning, model development, Data processing, Natural language processing, Japanese]"
DS,"[RCA, Software design, Version control, Coding, Machine learning, Data structures, Project delivery, Monitoring]","DS [RCA, Software design, Version control, Coding, Machine learning, Data structures, Project delivery, Monitoring]"
DS,"[Data Science, Python, Machine Learning, Modeling, Data, Machine, Science]","DS [Data Science, Python, Machine Learning, Modeling, Data, Machine, Science]"
DS,"[CSS, JavaScript, HTML, React, open source, python, predictive modeling, web technologies]","DS [CSS, JavaScript, HTML, React, open source, python, predictive modeling, web technologies]"
DS,"[Data analysis, data science, Data management, Analytical, Scrum, Analytics, SQL, Python]","DS [Data analysis, data science, Data management, Analytical, Scrum, Analytics, SQL, Python]"
DS,"[C++, orchestration, Linux, Architecture, SCALA, Open source, Business solutions, Analytics]","DS [C++, orchestration, Linux, Architecture, SCALA, Open source, Business solutions, Analytics]"
DS,"[Artificial Intelligence, algorithms, python, open source, data analytics, product development, enterprise applications, data maintenance]","DS [Artificial Intelligence, algorithms, python, open source, data analytics, product development, enterprise applications, data maintenance]"
DS,"[Artificial Intelligence, algorithms, open source, product development, marketing mix, enterprise applications, data maintenance, Tableu]","DS [Artificial Intelligence, algorithms, open source, product development, marketing mix, enterprise applications, data maintenance, Tableu]"
DS,"[Computer science, Cloud computing, Consulting, Workflow, System design, Information technology, Analytics, Monitoring]","DS [Computer science, Cloud computing, Consulting, Workflow, System design, Information technology, Analytics, Monitoring]"
DS,"[Computer science, Economics, Scientist III, SEZ, Mathematics, Business solutions, Information technology, Statistics]","DS [Computer science, Economics, Scientist III, SEZ, Mathematics, Business solutions, Information technology, Statistics]"
DS,"[Computer science, NoSQL, Machine learning, Hypothesis Testing, Natural language processing, Stakeholder management, Operations, Analytics]","DS [Computer science, NoSQL, Machine learning, Hypothesis Testing, Natural language processing, Stakeholder management, Operations, Analytics]"
DS,"[Procurement, Green belt, Automation, Data analysis, Change management, Value engineering, Strategic planning, Business intelligence]","DS [Procurement, Green belt, Automation, Data analysis, Change management, Value engineering, Strategic planning, Business intelligence]"
DS,"[Data Science, Telecom, SAS, Simulation, Billing, SPSS, Business intelligence, Forecasting]","DS [Data Science, Telecom, SAS, Simulation, Billing, SPSS, Business intelligence, Forecasting]"
DS,"[Solution architecture, GIT, Neural networks, Postgresql, Machine learning, Data structures, Apache, Analytics]","DS [Solution architecture, GIT, Neural networks, Postgresql, Machine learning, Data structures, Apache, Analytics]"
DS,"[Automation, GIT, Postgresql, Machine learning, Data structures, MongoDB, Information management, Operations]","DS [Automation, GIT, Postgresql, Machine learning, Data structures, MongoDB, Information management, Operations]"
DS,"[Computer science, Computer vision, Prototype, Networking, Neural networks, Consulting, Machine learning, Continuous improvement]","DS [Computer science, Computer vision, Prototype, Networking, Neural networks, Consulting, Machine learning, Continuous improvement]"
DS,"[Computer science, Computer vision, Prototype, Networking, Neural networks, Machine learning, Continuous improvement, Information technology]","DS [Computer science, Computer vision, Prototype, Networking, Neural networks, Machine learning, Continuous improvement, Information technology]"
DS,"[Computer science, Computer vision, Prototype, Networking, Consulting, Machine learning, Data quality, Continuous improvement]","DS [Computer science, Computer vision, Prototype, Networking, Consulting, Machine learning, Data quality, Continuous improvement]"
DS,"[Unix, Computer science, Linux, Coding, Machine learning, Customer service, Analytics, SQL]","DS [Unix, Computer science, Linux, Coding, Machine learning, Customer service, Analytics, SQL]"
DS,"[Data Science, Team Management, Cost Optimization, Delivery Management, profit & loss, Artificial Intelligence, Advanced Analytics, Statistical Modeling]","DS [Data Science, Team Management, Cost Optimization, Delivery Management, profit & loss, Artificial Intelligence, Advanced Analytics, Statistical Modeling]"
DS,"[Cloud computing, deep learning, Statistical analysis, data science, GCP, Consulting, Machine learning, Data quality]","DS [Cloud computing, deep learning, Statistical analysis, data science, GCP, Consulting, Machine learning, Data quality]"
DS,"[B2B Marketing, Computer science, Statistical analysis, data science, Equity, Predictive modeling, big data, Analytics]","DS [B2B Marketing, Computer science, Statistical analysis, data science, Equity, Predictive modeling, big data, Analytics]"
DS,"[Business services, deep learning, C++, Claims, Analytical, Machine learning, Data collection, Actuarial]","DS [Business services, deep learning, C++, Claims, Analytical, Machine learning, Data collection, Actuarial]"
DS,"[C++, Data analysis, SOC, Agile, Perl, Firmware, MATLAB, Analytics]","DS [C++, Data analysis, SOC, Agile, Perl, Firmware, MATLAB, Analytics]"
DS,"[Computer science, Prototype, GIT, Analytical, Machine learning, Information retrieval, Data quality, Forecasting]","DS [Computer science, Prototype, GIT, Analytical, Machine learning, Information retrieval, Data quality, Forecasting]"
DS,"[Operations research, Simulation, Data management, Analytical, German, Spanish, Continuous improvement, Analytics]","DS [Operations research, Simulation, Data management, Analytical, German, Spanish, Continuous improvement, Analytics]"
DS,"[Computer vision, Performance tuning, deep learning, data science, Analytical, Machine learning, Packaging, Data structures]","DS [Computer vision, Performance tuning, deep learning, data science, Analytical, Machine learning, Packaging, Data structures]"
DS,"[Text mining, Logistic regression, LMS, PDF, Machine learning, Healthcare, Data mining, Forecasting]","DS [Text mining, Logistic regression, LMS, PDF, Machine learning, Healthcare, Data mining, Forecasting]"
DS,"[SAN, customer analytics, Analytical, Predictive modeling, Digital marketing, SQL, Python, Modeling]","DS [SAN, customer analytics, Analytical, Predictive modeling, Digital marketing, SQL, Python, Modeling]"
