profile,tech_stack,tobeclusteredcolumn,cluster
DS,"[Team management, Prototype, Database design, Agile, Data structures, MATLAB, Analytics, Financial services]","DS [Team management, Prototype, Database design, Agile, Data structures, MATLAB, Analytics, Financial services]",1
DS,"[Computer science, Training, Web technologies, Coding, Deployment, Automotive, Computer, Data]","DS [Computer science, Training, Web technologies, Coding, Deployment, Automotive, Computer, Data]",1
DS,"[deep learning, Statistical analysis, data science, Operations planning, model development, Data processing, Natural language processing, Japanese]","DS [deep learning, Statistical analysis, data science, Operations planning, model development, Data processing, Natural language processing, Japanese]",1
DS,"[RCA, Software design, Version control, Coding, Machine learning, Data structures, Project delivery, Monitoring]","DS [RCA, Software design, Version control, Coding, Machine learning, Data structures, Project delivery, Monitoring]",1
DS,"[Data Science, Python, Machine Learning, Modeling, Data, Machine, Science]","DS [Data Science, Python, Machine Learning, Modeling, Data, Machine, Science]",1
DS,"[CSS, JavaScript, HTML, React, open source, python, predictive modeling, web technologies]","DS [CSS, JavaScript, HTML, React, open source, python, predictive modeling, web technologies]",3
DS,"[Data analysis, data science, Data management, Analytical, Scrum, Analytics, SQL, Python]","DS [Data analysis, data science, Data management, Analytical, Scrum, Analytics, SQL, Python]",1
DS,"[C++, orchestration, Linux, Architecture, SCALA, Open source, Business solutions, Analytics]","DS [C++, orchestration, Linux, Architecture, SCALA, Open source, Business solutions, Analytics]",3
DS,"[Artificial Intelligence, algorithms, python, open source, data analytics, product development, enterprise applications, data maintenance]","DS [Artificial Intelligence, algorithms, python, open source, data analytics, product development, enterprise applications, data maintenance]",1
DS,"[Artificial Intelligence, algorithms, open source, product development, marketing mix, enterprise applications, data maintenance, Tableu]","DS [Artificial Intelligence, algorithms, open source, product development, marketing mix, enterprise applications, data maintenance, Tableu]",1
DS,"[Computer science, Cloud computing, Consulting, Workflow, System design, Information technology, Analytics, Monitoring]","DS [Computer science, Cloud computing, Consulting, Workflow, System design, Information technology, Analytics, Monitoring]",1
DS,"[Computer science, Economics, Scientist III, SEZ, Mathematics, Business solutions, Information technology, Statistics]","DS [Computer science, Economics, Scientist III, SEZ, Mathematics, Business solutions, Information technology, Statistics]",1
DS,"[Computer science, NoSQL, Machine learning, Hypothesis Testing, Natural language processing, Stakeholder management, Operations, Analytics]","DS [Computer science, NoSQL, Machine learning, Hypothesis Testing, Natural language processing, Stakeholder management, Operations, Analytics]",1
DS,"[Procurement, Green belt, Automation, Data analysis, Change management, Value engineering, Strategic planning, Business intelligence]","DS [Procurement, Green belt, Automation, Data analysis, Change management, Value engineering, Strategic planning, Business intelligence]",3
DS,"[Data Science, Telecom, SAS, Simulation, Billing, SPSS, Business intelligence, Forecasting]","DS [Data Science, Telecom, SAS, Simulation, Billing, SPSS, Business intelligence, Forecasting]",1
DS,"[Solution architecture, GIT, Neural networks, Postgresql, Machine learning, Data structures, Apache, Analytics]","DS [Solution architecture, GIT, Neural networks, Postgresql, Machine learning, Data structures, Apache, Analytics]",1
DS,"[Automation, GIT, Postgresql, Machine learning, Data structures, MongoDB, Information management, Operations]","DS [Automation, GIT, Postgresql, Machine learning, Data structures, MongoDB, Information management, Operations]",1
DS,"[Computer science, Computer vision, Prototype, Networking, Neural networks, Consulting, Machine learning, Continuous improvement]","DS [Computer science, Computer vision, Prototype, Networking, Neural networks, Consulting, Machine learning, Continuous improvement]",1
DS,"[Computer science, Computer vision, Prototype, Networking, Neural networks, Machine learning, Continuous improvement, Information technology]","DS [Computer science, Computer vision, Prototype, Networking, Neural networks, Machine learning, Continuous improvement, Information technology]",1
DS,"[Computer science, Computer vision, Prototype, Networking, Consulting, Machine learning, Data quality, Continuous improvement]","DS [Computer science, Computer vision, Prototype, Networking, Consulting, Machine learning, Data quality, Continuous improvement]",1
DS,"[Unix, Computer science, Linux, Coding, Machine learning, Customer service, Analytics, SQL]","DS [Unix, Computer science, Linux, Coding, Machine learning, Customer service, Analytics, SQL]",1
DS,"[Data Science, Team Management, Cost Optimization, Delivery Management, profit & loss, Artificial Intelligence, Advanced Analytics, Statistical Modeling]","DS [Data Science, Team Management, Cost Optimization, Delivery Management, profit & loss, Artificial Intelligence, Advanced Analytics, Statistical Modeling]",1
DS,"[Cloud computing, deep learning, Statistical analysis, data science, GCP, Consulting, Machine learning, Data quality]","DS [Cloud computing, deep learning, Statistical analysis, data science, GCP, Consulting, Machine learning, Data quality]",1
DS,"[B2B Marketing, Computer science, Statistical analysis, data science, Equity, Predictive modeling, big data, Analytics]","DS [B2B Marketing, Computer science, Statistical analysis, data science, Equity, Predictive modeling, big data, Analytics]",1
