profile,job_title,experience,salary,location,job_description,tech_stack
DS,Data Scientist - Knowledge Graph,8-13 Yrs ,,,Requirements and Skills : - 8+ years of experience in data science field Experience in...,"['Team management', 'Prototype', 'Database design', 'Agile', 'Data structures', 'MATLAB', 'Analytics', 'Financial services']"
DS,GenAI Data Scientist,5-6 Yrs ,,,"Experience : 5+ . Education : Bachelor s or Master s Degree in Computer Science, Engine...","['Computer science', 'Training', 'Web technologies', 'Coding', 'Deployment', 'Automotive', 'Computer', 'Data']"
DS,Senior Data Scientist - NLP,2-7 Yrs ,,,Fractal is looking for a seasoned Data Scientist who can work with one of the top tec...,"['deep learning', 'Statistical analysis', 'data science', 'Operations planning', 'model development', 'Data processing', 'Natural language processing', 'Japanese']"
DS,Senior Data Scientist,6-10 Yrs ,,,"Experience with programming languages such as Python, R, Spark . Strong understanding o...","['RCA', 'Software design', 'Version control', 'Coding', 'Machine learning', 'Data structures', 'Project delivery', 'Monitoring']"
DS,AVP_Data Scientist,7-12 Yrs ,,,Masters with 6+ years of professional experience in fields that include but not exhaust...,"['Data Science', 'Python', 'Machine Learning', 'Modeling', 'Data', 'Machine', 'Science']"
DS,Data Scientist,8-12 Yrs ,,,"The candidate should possess a strong background in Python programming, database manage...","['CSS', 'JavaScript', 'HTML', 'React', 'open source', 'python', 'predictive modeling', 'web technologies']"
DS,Senior Data Scientist,3-8 Yrs ,,,partnering with key business and finance stakeholders by acting as the bridge across bu...,"['Data analysis', 'data science', 'Data management', 'Analytical', 'Scrum', 'Analytics', 'SQL', 'Python']"
DS,Data Scientist,2-4 Yrs ,,,2-4 years of relevant work experience with a Bachelors Degree in Computer Science or re...,"['C++', 'orchestration', 'Linux', 'Architecture', 'SCALA', 'Open source', 'Business solutions', 'Analytics']"
DS,Data Scientist: Artificial Intelligence,5-7 Yrs ,,,"Your Role and ResponsibilitiesWork with broader team to build, analyze and improve the ...","['Artificial Intelligence', 'algorithms', 'python', 'open source', 'data analytics', 'product development', 'enterprise applications', 'data maintenance']"
DS,Data Scientist: Artificial Intelligence,3-8 Yrs ,,,Required Technical and Professional Expertise . Azure Data scientist with Knowledge on ...,"['Artificial Intelligence', 'algorithms', 'open source', 'product development', 'marketing mix', 'enterprise applications', 'data maintenance', 'Tableu']"
DS,Staff Data Scientist,4-8 Yrs ,,,Strong experience in end-to-end leading of complex ML model deployments in Cloud (GCP /...,"['Computer science', 'Cloud computing', 'Consulting', 'Workflow', 'System design', 'Information technology', 'Analytics', 'Monitoring']"
DS,Data Scientist III,4-9 Yrs ,,,"Demonstrates up-to-date expertise and applies this to the development, execution, and...","['Computer science', 'Economics', 'Scientist III', 'SEZ', 'Mathematics', 'Business solutions', 'Information technology', 'Statistics']"
DS,Sr Advanced Data Scientist,3-5 Yrs ,,,". You must have: . Master s degree in Computer Science, Engineering, Applied Mathematic...","['Computer science', 'NoSQL', 'Machine learning', 'Hypothesis Testing', 'Natural language processing', 'Stakeholder management', 'Operations', 'Analytics']"
DS,Advanced Data Scientist,5-6 Yrs ,,,. YOU MUST HAVE . Engineering degree (Bachelor /Master) . 5+ years Experience in Analyt...,"['Procurement', 'Green belt', 'Automation', 'Data analysis', 'Change management', 'Value engineering', 'Strategic planning', 'Business intelligence']"
DS,Data Scientist,2-5 Yrs ,,,"Bachelor of Engineering experience in optimization (linear, mixed integer, constraint ...","['Data Science', 'Telecom', 'SAS', 'Simulation', 'Billing', 'SPSS', 'Business intelligence', 'Forecasting']"
DS,Advanced Data Scientist,3-6 Yrs ,,,YOU MUST HAVE . BTech / Masters in engineering / Technology or MSc with 4-6 years of re...,"['Solution architecture', 'GIT', 'Neural networks', 'Postgresql', 'Machine learning', 'Data structures', 'Apache', 'Analytics']"
DS,Advanced Data Scientist,4-6 Yrs ,,,BTech / Masters in engineering / Technology or MSc with 4-6 years of relevant experienc...,"['Automation', 'GIT', 'Postgresql', 'Machine learning', 'Data structures', 'MongoDB', 'Information management', 'Operations']"
DS,Staff Data Scientist,10-12 Yrs ,,,PhD with >5 years of relevant experience / 4-year bachelor s degree with > 10 years of ...,"['Computer science', 'Computer vision', 'Prototype', 'Networking', 'Neural networks', 'Consulting', 'Machine learning', 'Continuous improvement']"
DS,Senior Data Scientist,6-8 Yrs ,,,Qualifications . PhD with >3 years of relevant experience / 4-year bachelor s degree wi...,"['Computer science', 'Computer vision', 'Prototype', 'Networking', 'Neural networks', 'Machine learning', 'Continuous improvement', 'Information technology']"
DS,Principal Data Scientist,10-12 Yrs ,,,Qualifications . PhD with >8+ years of relevant experience / 4-year bachelor s degree w...,"['Computer science', 'Computer vision', 'Prototype', 'Networking', 'Consulting', 'Machine learning', 'Data quality', 'Continuous improvement']"
DS,Lead - Data Scientist,8-10 Yrs ,,,"You should also have a business mindset, swift to identify risk situations and opportun...","['Unix', 'Computer science', 'Linux', 'Coding', 'Machine learning', 'Customer service', 'Analytics', 'SQL']"
DS,Delivery Manager- Data Science & Advance Analytics,10-18 Yrs ,,,Understand project requirements and equip team members with the necessary skills and tr...,"['Data Science', 'Team Management', 'Cost Optimization', 'Delivery Management', 'profit & loss', 'Artificial Intelligence', 'Advanced Analytics', 'Statistical Modeling']"
