job_title,experience,salary,location,job_description,tech_stack
DevOps Engineer,7-11 Yrs ,12-20 Lacs PA ,,DevOps EngineerDevelopment of the full life cycle of software or applications with aut...,"['Automation', 'Azure Cloud', 'Cicd Pipeline', 'SQL Queries', 'Jenkins', 'GIT', 'Docker', 'Ansible']"
Senior DevOps Engineer,5-7 Yrs ,Not disclosed ,,Skill Sets . 5+ years of experience working on development and production infrastructur...,"['DevOps', 'VMware', 'Nginx', 'JBoss', 'Configuration management', 'Linux', 'Docker', 'Terraform']"
Senior Devops Engineer,3-8 Yrs ,Not disclosed ,,"AWS: Working experience and a good understanding of the AWS environment, including VPC,...","['Terraform', 'Kubernates', 'AWS', 'Java', 'Aws Devops', 'Linux', 'Ansible', 'Devops Tools']"
Azure Devops Engineer,4-9 Yrs ,10-20 Lacs PA ,,"Role & responsibilities Good exp in Azure devops. Good work experience in AKS , CI/ CD...","['Azure Devops', 'Azure Kubernetes Service', 'Cicd Pipeline', 'Azure Kubernetes', 'Microsoft Azure', 'Cd', 'Pipeline', 'Kubernetes']"
DevOps Engineer - AWS,5-10 Yrs ,"50,000-60,000 PA ",,Hands on Experience on writing pipeline as code. Hands-on Experience on building CI / C...,"['continuous integration', 'kubernetes', 'nexus', 'technical', 'ci/cd', 'docker', 'ansible', 'cloud']"
Site Reliability Engineer / DevOps,2-5 Yrs ,Not disclosed ,,Experience required: 2-4+ years of professional experienceMust know any one programming...,"['Docker', 'Site Reliability Engineer', 'load balancing', 'Chef', 'DNS', 'DevOps', 'CI/CD tooling', 'Terraform']"
Aws Devops Engineer,4-9 Yrs ,8-18 Lacs PA ,,"must. - Experience with observability Stack for kubernetes(Prometheus, Grafana, Long te...","['Aws Devops', 'Kubernetes', 'Jenkins', 'python', 'GIT', 'Terraform', 'Shell Scripting', 'Cicd Pipeline']"
Senior Devops Engineer Python & MLOps,5-7 Yrs ,Not disclosed ,,"Requirements: Bachelors degree in Computer Science, Information Technology, or a relate...","['CI/ CD', 'LAC', 'DockerKubernetes', 'lambdas', 'Prometheus', 'SNS', 'cloudwatch', 'Pagerduty']"
Cloud DevOps - Senior Engineer,5-7 Yrs ,Not disclosed ,,Engineering graduate with over 5+ years of experience in Build and Release ManagementMu...,"['DevOps', 'Shell', 'Docker', 'Linux', 'My Sql', 'Ansible', 'CI/CD', 'Bash']"
DevOps Engineer,5-7 Yrs ,Not disclosed ,,"Education: Bachelor s Degree in Engineering, MCASetting up tools and required infrastru...","['DevOps', 'CI/CD Pipelines', 'Artifactory', 'EKS', 'Jenkins', 'Kanban', 'Git', 'Docker']"
DevOps Engineer,5-8 Yrs ,Not disclosed ,,"Principal Accountabilities:• DevOps Experience in large, multi-product environments• Bu...","['EKS', 'DevOps', 'ECS', 'CI/CD', 'AWS ECR', 'Amazon Web Services', 'Artifactory', 'Jenkins']"
DevOps Engineer,5-7 Yrs ,Not disclosed ,,"Principal Accountabilities:• DevOps Experience in large, multi-product environments• Bu...","['CI/CD Pipelines', 'Jenkins', 'Kanban', 'Agile', 'CloudTrail', 'Amazon Web Services', 'CloudFormation', 'Artifactory']"
DevOps Engineer,5-8 Yrs ,Not disclosed ,,"Principal Accountabilities:• DevOps Experience in large, multi-product environments• Bu...","['Jenkins', 'DevOps', 'Kanban', 'Git', 'CI/CD', 'Docker', 'CloudFormation', 'Agile']"
DevOps Engineer,5-10 Yrs ,Not disclosed ,,"Principal Accountabilities:• DevOps Experience in large, multi-product environments• Bu...","['DevOps', 'CI/CD Pipelines', 'risk management', 'Artifactory', 'EKS', 'vulnerability assessment', 'Jenkins', 'Kanban']"
Azure Devops Engineer,5-9 Yrs ,10-18 Lacs PA ,,"Bachelors degree in computer science, Information Technology, or a related fieldProven ...","['Azure Devops', 'Kubernetes', 'Azure Cli', 'Azure Kubernetes', 'Terraform', 'Ansible', 'Cicd Pipeline', 'Helm']"
Azure Devops Engineer,7-12 Yrs ,Not disclosed ,,Experience with deploying and managing micro-services using container orchestration pla...,"['Cicd Pipeline', 'Kubernates', 'azure devops', 'Powershell Scripting', 'Scripting', 'Devops', 'Powershell', 'Continuous Integration']"
Speriti Solutions - Site Reliability Engineer - Azure/DevOps,4-8 Yrs ,Not disclosed ,,"Experience working within a cloud environments (AWS, Azure, Google Cloud Platform etc) ...","['Site Reliability', 'Configuration Management Tools', 'Azure', 'DevOps', 'Bash Scripting', 'Linux', 'CI/CD', 'Ruby Programming']"
Devops Engineer(6yrs-9yrs- immediate joiner),6-9 Yrs ,10-20 Lacs PA ,,Development of the full life cycle of software or applications with automation toolsSe...,"['Automation Tools', 'Ci Cd Pipeline', 'devops', 'Continuous Integration', 'continuous deployment', 'SQL', 'CI/Cd', 'Pipeline']"
Senior Devops Engineer/ Lead Devops Engineer ( Notice Period: 30 Days,8-12 Yrs ,Not disclosed ,,Role & responsibilities Educated to a bachelor s degree with 6+ years of industry exper...,"['Terraform', 'Devops', 'Jenkins', 'Github', 'Senior']"
Senior DevOps Engineer,8-10 Yrs ,Not disclosed ,,"Deep understanding and working experience on Kubernetes, Containers, Red Hat Open Shift...","['DevOps', 'AWS', 'Red Hat Open Shift', 'Kubernetes', 'Jenkins', 'Enterprise architecture', 'CI/CD', 'Troubleshooting']"
Devops Engineer,1-6 Yrs ,Not disclosed ,,"Should have hands-on experience with Build Tools like Jenkins, GitHub Actions, AWS Code...","['Aws Devops', 'Cicd Pipeline', 'Grafana', 'Terraform', 'Ansible', 'CI/Cd', 'Devops', 'AWS']"
"Lead DevOps Engineer at Qualys ,Pune",6-9 Yrs ,Not disclosed ,,"Experience enforcing security policies on SCM such as GitHub, BitbucketExperience with ...","['Devops', 'Ci Cd Pipeline', 'Aws Devops', 'Continuous Integration', 'Qualys', 'AWS', 'Cd', 'Pipeline']"
Azure Devops Engineer,5-10 Yrs ,Not disclosed ,,"Experience :5+ Years . Excellent knowledge and Experience into Azure DevOps, Terraform,...","['Terraform', 'Azure Cloud', 'Cicd Pipeline', 'Azure Devops', 'Kubernetes', 'engineer', 'Pipeline', 'Microsoft Azure']"
Devops Lead,6-11 Yrs ,20-30 Lacs PA ,,"This job should support in deploying product updates, identifying production issues, an...","['Sonarqube', 'Groovy', 'Containerization', 'Gitlab', 'Python', 'Maven', 'NUnit', 'Ant']"
Senior DevOps Engineer - Puppet/AWS,4-7 Yrs ,Not disclosed ,,Role & Responsibility :- To design and develop automated deployment arrangements by lev...,"['DevOps', 'Azure', 'ELK', 'Chef', 'open-source', 'Grafana', 'SQL', 'Agile principles']"
BBRC - Senior AWS DevOps Developer (189),6-11 Yrs ,Not disclosed ,,"AWS certifications (e.g., AWS Certified Developer, AWS Certified Solutions Architect) (...","['Full Stack Developer', 'JavaScript', 'MySQL', 'Oracle', 'AWS', 'AWS Devops', 'Development', 'Devops']"
Application Consultant: DevOps,3-7 Yrs ,Not disclosed ,,Required Technical and Professional Expertise . Extensive experience building and confi...,"['DevOps', 'performance testing', 'documentation', 'application performance management', 'hybrid cloud', 'design development', 'creative solutions', 'Management']"
Application Consultant: DevOps,3-7 Yrs ,Not disclosed ,,Required Technical and Professional Expertise . Extensive experience building and confi...,"['Networking', 'hybrid cloud', 'devops', 'application performance management', 'Performance testing', 'documentation', 'application architecture', 'APM solution']"
Senior Consultant - DevOps,5-9 Yrs ,Not disclosed ,,"Familiarity with- . Orchestration tools - Docker compose, Kubernetes (k8s), etc . Virtu...","['Solution architecture', 'Architect', 'VMware', 'Costing', 'Networking', 'Linux', 'Illustration', 'Billing']"
Sr. DevOps Engineer,7-10 Yrs ,Not disclosed ,,7+ years experience managing / monitoring cloud and virtualized servers for optimal per...,"['devops', 'Iac Tools', 'AWS', 'Azure Devops', 'Kubernetes', 'Aws Cloud', 'application engineering', 'Serverless']"
Sr . Devops Engineer II,7-10 Yrs ,Not disclosed ,,With 7 to 10 years of experience. .,"['Root cause analysis', 'Prototype', 'Claims', 'Risk assessment', 'risk modeling', 'data governance', 'Workflow', 'microsoft']"
Sr. Devops Engineer II,7-10 Yrs ,Not disclosed ,,Deploying applications in an automated fashion by creating and managing CI/CD pipeli...,"['Engineer II', 'Root cause analysis', 'Team leading', 'Prototype', 'Architecture', 'devops', 'Cloud', 'Troubleshooting']"
Senior Devops Engineer,9-11 Yrs ,Not disclosed ,,An engineering / automation mindset with an operations background. 3-5 years experience...,"['Devops', 'AppDynamics', 'SolarWinds', 'RDBMS', 'MySQL', 'Web development', 'New Relic', 'Prometheus']"
DevOps Engineer (L6),10-20 Yrs ,Not disclosed ,,Assist broad portfolio of applications in accelerating their migration to AWS by buil...,"['Training', 'ECS', 'devops', 'Postgresql', 'Deployment', 'Troubleshooting', 'Operations', 'AWS']"
"Principal Engineer(Devops,CICD,Cloud,terraform)",8-10 Yrs ,Not disclosed ,,What it takes: . 8+ years of software development experience with 3 years leading agile...,"['Devops', 'C++', 'SOA', 'Docker', 'Cloud', 'CICD', '.Net', 'terraform']"
DevOps - Engineer / Sr. Engineer,5-10 Yrs ,Not disclosed ,,"Position requires a Bachelors degree in Computer Science, Engineering, or a related fie...","['NoSQL', 'Agile', 'Data Analytics', 'Jenkins', 'Golang', 'Git', 'CI/CD', 'Analytics']"
devops Engineer/ Lead,5-10 Yrs ,Not disclosed ,,5+ years of experience working as a DevOps engineer. . Strong in managing AWS infrastru...,"['DevOps Engineer', 'DevOps', 'VPCs', 'SQS', 'Ec2', 'CICD', 'EMRs', 'DynamoDb']"
DevOps Engineer,4-6 Yrs ,Not disclosed ,,Technical Experience : A: Strong knowledge in DevOps concepts handling CI / CD pipeline...,"['DevOps', 'GIT', 'Python', 'Jenkins Administration', 'DevOps Engineer', 'Cloud Services', 'AWS Cloud Services', 'Groovy']"
DevOps Engineer,5-7 Yrs ,Not disclosed ,,Kubernetes Certification will be an added advantage Required Technical and Professional...,"['DevOps', 'Linux', 'JavaScript', 'Shell scripting', 'Python', 'Ubuntu', 'Jenkins', 'GIT']"
Devops Engineer (DM- 3730),1-3 Yrs ,Not disclosed ,,Strong background in DevOps practices and methodologies. . Proficiency in Linux adminis...,"['Docker', 'Terraform', 'Aws Devops', 'Ansible', 'Devops', 'Github', 'Ci/Cd', 'Kubernates']"
DevOps Engineer - Jenkins/Kubernetes,3-5 Yrs ,Not disclosed ,,Experience in architecting complex production systems with Multi tier application stack...,"['DevOps', 'Jenkins', 'Java', 'CI/CD Tools', 'Terraform', 'Cloud Services', 'CloudFormation', 'php']"
Devops Engineer,6-10 Yrs ,18-25 Lacs PA ,,"Strong experience in Jenkins, Redshift . What makes you a great fit : . Strong knowled...","['Jenkins', 'DevOps', 'CI/CD', 'VPC setup', 'Lambda', 'Lambda Expressions', 'Vpc', 'Installation']"
Devops Engineer,4-7 Yrs ,20-30 Lacs PA ,,Setting up tools and required infrastructure,"['Maven', 'GIT', 'Docker', 'CI/CD', 'Kubernetes', 'Continuous Integration', 'Cd', 'Devops']"
Devops Engineer,2-5 Yrs ,Not disclosed ,,Heres what you will do – Handling all DevOps activities Engage with development team...,"['Devops', 'Aws Devops', 'Ansible', 'Ci/Cd', 'terraform', 'AWS', 'Continuous Integration', 'Cd']"
Devops Engineer,2-4 Yrs ,4-6 Lacs PA ,,Only those candidate apply who are ready to work from office and can relocate to Noida ...,"['Aws Devops', 'Devops Tools', 'Cicd Pipeline', 'CI/Cd', 'Devops', 'Tools', 'AWS', 'Pipeline']"
Devops Engineer,5-7 Yrs ,Not disclosed ,,"Experience with infrastructure as code (e.g., Terraform, Ansible). . Strong understandi...","['Aws Devops', 'Genkins', 'Ci/Cd', 'Devops', 'Gitlab', 'Azure Devops', 'Python', 'Microsoft Azure']"
Lead DevOps Engineer,8-12 Yrs ,15-20 Lacs PA ,,"DevOps professional certifications like AWS Certified DevOps Engineer, Certified Prefer...","['S3', 'DevOps', 'Terraform', 'CI/CD', 'AWS', 'Lambda', 'Cd', 'Cd']"
"Principal Engineer(Devops,CICD,Cloud,terraform)",8-10 Yrs ,Not disclosed ,,Liaise directly with business stakeholders to understand business problems and propose ...,"['Devops', 'c#', 'c++', 'REST', 'software development', 'GCP', 'CICD', 'wcf']"
Quality Assurance Engineer (Cloud DevOps),3-5 Yrs ,Not disclosed ,,Experience working in an Agile or SCRUM team environmentPreferred Qualifications. Compu...,"['Cloud DevOps', 'C#', 'PowerShell', 'DevOps processes', 'software applications', 'Software Development', 'API test automation', 'cloud infrastructure']"
Devops Engineer,1-5 Yrs ,9-19 Lacs PA ,,Familiar with working on cloud and datacenter for enterprise customers. . Hands-on expe...,"['Linux', 'Ansible', 'CI/CD', 'AWS', 'Kubernetes', 'Continuous Integration', 'Devops', 'Cd']"
Devops Lead,8-10 Yrs ,1-6 Lacs PA ,,"10 experience as a DevOps Engineer / Architect or similar role, with a focus on automat...","['Azure', 'DevOps', 'GCP', 'CI/CD', 'AWS', 'GKE', 'Java', 'C++']"
DevOps AWS Engineer,5-8 Yrs ,Not disclosed ,,Should be able to build the deployment pipelines Should be able to perform the architec...,"['AWS', 'DevOps', 'Docker', 'Kubernetes']"
Devops Architect,7-12 Yrs ,Not disclosed ,,Collaborating with the Business Development team in pre-sales activities such as requir...,"['Terraform', 'Ci/Cd', 'Kubernates', 'Cd', 'Continuous Integration', 'Cd', 'Architecture', 'Devops']"
Devops Lead,10-15 Yrs ,Not disclosed ,,Hands-on Experience over K8s based Micro Service Architecture is added advantage. Well ...,"['Aws Devops', 'Ansible', 'Devops', 'Kubernetes', 'Ci Cd Pipeline', 'Terraform', 'Continuous Delivery', 'Continuous Integration']"
Devops Developer _AWS +Terraform _Hybrid,4-7 Yrs ,Not disclosed ,,"Bachelors degree in Computer Science, Software Engineering, or a related field (or equi...","['Terraform', 'AWS', 'terraform developer', 'Devops', 'Development']"
AWS DevOps and Kafka Developer,5-8 Yrs ,Not disclosed ,,"Applications, Master Of Engineering, Bachelor Of Computer Science, Bachelor Of Comp Edu...","['Computer science', 'Team management', 'Software configuration management', 'Technology solutions', 'digital transformation', 'Solution design', 'Management systems', 'Client interfacing']"
AWS DevOps and Kafka Developer,9-11 Yrs ,Not disclosed ,,"Applications, Master of Computer Science, Master Of Engineering, Bachelor Of Computer S...","['AWS DevOps', 'Computer science', 'Change management', 'Team management', 'Management systems', 'Software configuration management', 'Agile', 'Design development']"
Senior Devops Engineer,8-13 Yrs ,Not disclosed ,,5+ years of relevant work experience in DevOps5 + years - hands-on knowledge of techno...,"['Aws Devops', 'Cicd Pipeline', 'Kubernetes', 'Maven', 'Gradle', 'Pipeline', 'AWS', 'Senior']"
Software Engineer-DevOps-Tooling-Gurgaon,4-9 Yrs ,Not disclosed ,,"Experience with container orchestration services, especially Kubernetes / OpenShift, Do...","['Aws Devops', 'AWS', 'Golang/GO', 'Java', 'Go/Python', 'or Jenkins', 'Openshift', 'C/C++']"
DevOps Engineer/Specialist- Tooling,5-10 Yrs ,22.5-32.5 Lacs PA ,,"Experience with container orchestration services, especially Kubernetes / OpenShift, Do...","['Coding', 'Cloud', 'CI CD', 'Devops', 'Java', 'Containers', 'Go', 'Python']"
Devops Engineer,3-6 Yrs ,Not disclosed ,,Experience with CI / CD Tools Like GoCD / Jenkins & Manage CI and CD tools with the tea...,"['Devops', 'Jenkins', 'Docker', 'Chef', 'Ansible', 'CI/CD', 'AWS', 'Lambda function']"
Devops Engineer,4-8 Yrs ,Not disclosed ,,"Design, implement, and maintain our company's infrastructure and deployment pipeline us...","['Devops', 'Azure', 'Agile methodologies', 'Google Cloud Platform', 'JavaScript', 'CI/CD', 'cloud infrastructure', 'Scrum methodologies']"
DevOps Engineer,5-10 Yrs ,Not disclosed ,,"Bachelor s degree in computer science . NICE TO HAVE, BUT NOT A DEALBREAKER . Expert in...","['Process improvement', 'Agile', 'Security services', 'Data processing', 'Regression testing', 'Customer service', 'Analytics', 'Monitoring']"
Lead DevOps Engineer,6-9 Yrs ,Not disclosed ,,Experience in designing & building applications using container & serverless technologi...,"['Jenkins', 'Aws Devops', 'Terraform', 'Helm Charts', 'Kubernetes', 'Azure Kubernetes', 'Aws Cloud', 'Teamcity']"
QS is hiring For Linux / DevOps Engineer - Bangalore,3-5 Yrs ,Not disclosed ,,"Why QS? At QS, our culture fosters a flexible working environment that encourages our e...","['Jenkins', 'Linux', 'LAMP', 'AWS', 'Hiring', 'QS', 'Devops']"
DevOps Engineer,2-4 Yrs ,Not disclosed ,,Proven experience in cloud operations and system administration,"['Supply chain', 'Networking', 'Access management', 'Infrastructure management', 'MySQL', 'Network security', 'Medical insurance', 'Monitoring']"
DevOps Engineer,2-5 Yrs ,Not disclosed ,,We seek a skilled DevOps Engineer to join our team. The ideal candidate will have a s...,"['Payroll', 'Manager Quality Assurance', 'Configuration management', 'Incident management', 'SCM', 'Troubleshooting', 'JIRA', 'Release management']"
Senior DevOps Engineer/ Cloud Administrator-Kolkata,4-8 Yrs ,Not disclosed ,,Possessing production-level experience with distributed applications at scale in public...,"['Cloud', 'Devops', 'Devops Ci Cd', 'CI/Cd', 'Senior', 'Continuous Integration', 'Cd']"
Engineering Manager - DevOps,8-10 Yrs ,Not disclosed ,,Collaborate with developers to establish and ensure that new environments meet requir...,"['devops', 'Financial services', 'Management', 'Engineering', 'Finance', 'Engineering management']"
Azure Devops Engineer,1-3 Yrs ,Not disclosed ,,Job descriptionBuild enterprise curated Experience in CI/CD pipelines from scratch.Wor...,"['Azure Devops', 'Jenkins', 'Azure Pipelines', 'Devops', 'Microsoft Azure', 'Pipeline']"
Engineer/Lead/Architect Devops Engineer,12-14 Yrs ,Not disclosed ,,"Proven experience as a DevOps and Cloud Architect or similar role, with a strong focus ...","['Devops', 'artifactory', 'continuous integration', 'python', 'nexus', 'selenium', 'sonarqube', 'automation testing']"
Devops Engineer,6-8 Yrs ,Not disclosed ,,Develop and integrate a variety of security services including network and applica...,"['continuous integration', 'Automation', 'GIT', 'orchestration', 'ISO', 'HIPAA', 'Application security', 'Ruby']"
Devops Engineer,5-6 Yrs ,Not disclosed ,,"Experience with web application security (SSL) . Preferred experience with Docker, conf...","['Computer science', 'Version control', 'Linux', 'Configuration management', 'Subversion', 'Debugging', 'Apache', 'SCM']"
